Country,Code,Y2000,Y2001,Y2002,Y2003,Y2004,Y2005,Y2006,Y2007,Y2008,Y2009,Y2010,Y2011,Y2012,,,
Jamaica,JAM,9.01E+03,9.10E+03,9.72E+03,9.43E+03,1.02E+04,1.12E+04,1.19E+04,1.28E+04,1.37E+04,1.21E+04,1.32E+04,1.44E+04,1.48E+04,,,
Jordan,JOR,8.46E+03,8.97E+03,9.58E+03,1.02E+04,1.14E+04,1.26E+04,1.51E+04,1.71E+04,2.20E+04,2.38E+04,2.64E+04,2.88E+04,3.09E+04,,,
Japan,JPN,4.73E+06,4.16E+06,3.98E+06,4.30E+06,4.66E+06,4.57E+06,4.36E+06,4.36E+06,4.85E+06,5.04E+06,5.50E+06,5.91E+06,5.95E+06,,,
Kazakhstan,KAZ,1.83E+04,2.22E+04,2.46E+04,3.08E+04,4.32E+04,5.71E+04,8.10E+04,1.05E+05,1.33E+05,1.15E+05,1.48E+05,1.88E+05,2.04E+05,,,
Kenya,KEN,1.27E+04,1.30E+04,1.31E+04,1.49E+04,1.61E+04,1.87E+04,2.58E+04,3.20E+04,3.59E+04,3.70E+04,4.00E+04,4.20E+04,5.04E+04,,,
Kyrgyz Republic,KGZ,1.37E+03,1.53E+03,1.61E+03,1.92E+03,2.21E+03,2.46E+03,2.83E+03,3.80E+03,5.14E+03,4.69E+03,4.79E+03,6.20E+03,6.61E+03,,,
Cambodia,KHM,3.65E+03,3.98E+03,4.28E+03,4.66E+03,5.34E+03,6.29E+03,7.27E+03,8.64E+03,1.04E+04,1.04E+04,1.12E+04,1.28E+04,1.41E+04,,,
Kiribati,KIR,6.75E+01,6.31E+01,7.23E+01,9.01E+01,1.02E+02,1.06E+02,1.05E+02,1.23E+02,1.35E+02,1.27E+02,1.50E+02,1.72E+02,1.75E+02,,,
St. Kitts and Nevis,KNA,4.20E+02,4.60E+02,4.81E+02,4.63E+02,5.01E+02,5.43E+02,6.36E+02,6.84E+02,7.35E+02,7.09E+02,6.92E+02,7.28E+02,7.32E+02,,,
"Korea, Rep.",KOR,5.62E+05,5.33E+05,6.09E+05,6.81E+05,7.65E+05,8.98E+05,1.01E+06,1.12E+06,1.00E+06,9.02E+05,1.09E+06,1.20E+06,1.22E+06,,,
Kosovo,KSV,1.85E+03,2.54E+03,2.70E+03,3.36E+03,3.64E+03,3.74E+03,4.08E+03,4.83E+03,5.69E+03,5.65E+03,5.83E+03,6.70E+03,6.50E+03,,,
Kuwait,KWT,3.77E+04,3.49E+04,3.81E+04,4.79E+04,5.94E+04,8.08E+04,1.02E+05,1.15E+05,1.47E+05,1.06E+05,1.15E+05,1.54E+05,1.74E+05,,,
Latin America & Caribbean (developing only),LAC,1.67E+06,1.62E+06,1.60E+06,1.63E+06,1.84E+06,2.23E+06,2.61E+06,3.08E+06,3.53E+06,3.29E+06,4.11E+06,4.75E+06,4.66E+06,,,
Lao PDR,LAO,1.73E+03,1.77E+03,1.76E+03,2.02E+03,2.37E+03,2.74E+03,3.45E+03,4.22E+03,5.44E+03,5.83E+03,7.18E+03,8.28E+03,9.36E+03,,,
Lebanon,LBN,1.73E+04,1.76E+04,1.92E+04,2.01E+04,2.10E+04,2.13E+04,2.18E+04,2.46E+04,2.88E+04,3.51E+04,3.80E+04,4.01E+04,4.32E+04,,,
Liberia,LBR,5.29E+02,5.15E+02,5.36E+02,4.09E+02,4.67E+02,5.42E+02,6.04E+02,7.39E+02,8.50E+02,1.16E+03,1.29E+03,1.55E+03,1.74E+03,,,
Libya,LBY,3.83E+04,3.41E+04,2.05E+04,2.63E+04,3.31E+04,4.73E+04,5.50E+04,6.75E+04,8.71E+04,6.30E+04,7.48E+04,3.47E+04,8.19E+04,,,
St. Lucia,LCA,7.81E+02,7.39E+02,7.42E+02,8.06E+02,8.85E+02,9.35E+02,1.06E+03,1.14E+03,1.17E+03,1.18E+03,1.24E+03,1.29E+03,1.30E+03,,,
Latin America & Caribbean (all income levels),LCN,2.27E+06,2.21E+06,1.98E+06,2.04E+06,2.37E+06,2.87E+06,3.37E+06,3.98E+06,4.62E+06,4.35E+06,5.38E+06,6.09E+06,6.13E+06,,,
Least developed countries: UN classification,LDC,2.01E+05,1.94E+05,2.09E+05,2.34E+05,2.72E+05,3.22E+05,3.76E+05,4.61E+05,5.68E+05,5.65E+05,6.31E+05,7.14E+05,7.56E+05,,,
